N,number_of_threads,err_inv,time
10,1,1.57659e-12,12800
10,2,1.57659e-12,133800
10,3,1.57659e-12,217600
10,4,1.57659e-12,270000
10,5,1.57659e-12,336300
10,6,1.57659e-12,369400
10,7,1.57659e-12,443300
10,8,1.57659e-12,471200
10,9,1.57659e-12,424600
10,10,1.57659e-12,499300
10,11,1.57659e-12,779800
10,12,1.57659e-12,656300
20,1,6.40529e-14,150400
20,2,6.40529e-14,188200
20,3,6.40529e-14,247100
20,4,6.40529e-14,272000
20,5,6.40529e-14,317300
20,6,6.40529e-14,383300
20,7,6.40529e-14,439500
20,8,6.40529e-14,491100
20,9,6.40529e-14,549200
20,10,6.40529e-14,640100
20,11,6.40529e-14,698300
20,12,6.40529e-14,720600
40,1,3.22241e-12,268500
40,2,3.22241e-12,561200
40,3,3.22241e-12,650300
40,4,3.22241e-12,853000
40,5,3.22241e-12,885600
40,6,3.22241e-12,914600
40,7,3.22241e-12,913900
40,8,3.22241e-12,962400
40,9,3.22241e-12,1.0177e+06
40,10,3.22241e-12,1.1076e+06
40,11,3.22241e-12,1.2386e+06
40,12,3.22241e-12,1.7185e+06
80,1,4.27716e-11,1.3513e+06
80,2,4.27716e-11,2.331e+06
80,3,4.27716e-11,2.7187e+06
80,4,4.27716e-11,2.8786e+06
80,5,4.27716e-11,2.5304e+06
80,6,4.27716e-11,3.3602e+06
80,7,4.27716e-11,2.8626e+06
80,8,4.27716e-11,3.1084e+06
80,9,4.27716e-11,3.0866e+06
80,10,4.27716e-11,3.4306e+06
80,11,4.27716e-11,3.299e+06
80,12,4.27716e-11,9.9431e+06
160,1,2.89201e-10,9.2041e+06
160,2,2.89201e-10,1.10584e+07
160,3,2.89201e-10,1.07981e+07
160,4,2.89201e-10,1.04713e+07
160,5,2.89201e-10,1.21201e+07
160,6,2.89201e-10,1.1312e+07
160,7,2.89201e-10,1.12641e+07
160,8,2.89201e-10,1.22448e+07
160,9,2.89201e-10,1.27265e+07
160,10,2.89201e-10,1.2457e+07
160,11,2.89201e-10,1.36579e+07
160,12,2.89201e-10,1.40035e+07
320,1,6.62366e-10,7.03084e+07
320,2,6.62366e-10,5.94017e+07
320,3,6.62366e-10,5.37867e+07
320,4,6.62366e-10,6.1345e+07
320,5,6.62366e-10,5.64607e+07
320,6,6.62366e-10,5.40353e+07
320,7,6.62366e-10,5.32728e+07
320,8,6.62366e-10,5.25069e+07
320,9,6.62366e-10,5.21884e+07
320,10,6.62366e-10,5.41358e+07
320,11,6.62366e-10,5.48978e+07
320,12,6.62366e-10,6.79915e+07
640,1,2.26034e-09,5.34301e+08
640,2,2.26034e-09,3.80412e+08
640,3,2.26034e-09,3.07913e+08
640,4,2.26034e-09,2.8164e+08
640,5,2.26034e-09,2.57827e+08
640,6,2.26034e-09,2.88058e+08
640,7,2.26034e-09,2.84301e+08
640,8,2.26034e-09,2.79109e+08
640,9,2.26034e-09,2.67287e+08
640,10,2.26034e-09,2.62369e+08
640,11,2.26034e-09,2.62481e+08
640,12,2.26034e-09,4.38814e+08
1280,1,1.67726e-07,4.82309e+09
1280,2,1.67726e-07,2.82007e+09
1280,3,1.67726e-07,2.23769e+09
1280,4,1.67726e-07,2.02973e+09
1280,5,1.67726e-07,1.99292e+09
1280,6,1.67726e-07,1.88789e+09
1280,7,1.67726e-07,1.78386e+09
1280,8,1.67726e-07,1.85172e+09
1280,9,1.67726e-07,1.69716e+09
1280,10,1.67726e-07,1.50556e+09
1280,11,1.67726e-07,1.5192e+09
1280,12,1.67726e-07,1.46408e+09
