N,number_of_threads,time
10,1,7300
10,2,115100
10,3,209100
10,4,197800
10,5,451700
10,6,440900
10,7,493200
10,8,688700
10,9,581500
10,10,611200
10,11,738900
10,12,744200
20,1,57700
20,2,102300
20,3,233700
20,4,201900
20,5,266800
20,6,380400
20,7,395000
20,8,467100
20,9,615600
20,10,660200
20,11,656500
20,12,749400
40,1,215700
40,2,208000
40,3,156500
40,4,161000
40,5,212800
40,6,333600
40,7,314000
40,8,379600
40,9,426800
40,10,452000
40,11,536200
40,12,529600
80,1,1221100
80,2,654300
80,3,489000
80,4,431500
80,5,558200
80,6,407100
80,7,482700
80,8,518900
80,9,613200
80,10,612900
80,11,687000
80,12,651600
160,1,9436700
160,2,4717800
160,3,3270100
160,4,2707800
160,5,2367900
160,6,2674400
160,7,2753000
160,8,2363800
160,9,1978800
160,10,2130600
160,11,1998900
160,12,2188000
320,1,79598700
320,2,40466100
320,3,26602900
320,4,19991300
320,5,23507100
320,6,20635700
320,7,18018200
320,8,16580600
320,9,15031000
320,10,13838800
320,11,12791900
320,12,12233700
640,1,721812700
640,2,371126000
640,3,259225400
640,4,190958400
640,5,166330900
640,6,161248400
640,7,162068200
640,8,150360400
640,9,153571900
640,10,147579200
640,11,141172800
640,12,132658600
1280,1,11060983600
1280,2,5646834500
1280,3,3706415500
1280,4,2972752400
1280,5,2450537100
1280,6,2129909800
1280,7,1922828500
1280,8,1873747900
1280,9,1969207100
1280,10,2003413400
1280,11,2022947700
1280,12,1943143700
