N,number_of_threads,time
100,1,26700
100,2,105500
100,3,185800
100,4,230500
100,5,371400
100,6,346000
100,7,327400
100,8,507700
100,9,447600
100,10,467400
100,11,544900
100,12,550500
200,1,140100
200,2,223700
200,3,220200
200,4,315500
200,5,357700
200,6,309100
200,7,440500
200,8,478100
200,9,577100
200,10,530600
200,11,621900
200,12,656600
400,1,830700
400,2,550900
400,3,590400
400,4,689700
400,5,882200
400,6,796400
400,7,813800
400,8,941300
400,9,1040000
400,10,1054700
400,11,1043300
400,12,1016400
800,1,3309000
800,2,2705500
800,3,2598700
800,4,2748100
800,5,2621800
800,6,2668700
800,7,2692400
800,8,3069200
800,9,2804000
800,10,2971800
800,11,2984700
800,12,3193200
1600,1,10611100
1600,2,9419200
1600,3,9748900
1600,4,9235600
1600,5,9450500
1600,6,9305800
1600,7,9434600
1600,8,9551700
1600,9,10908500
1600,10,10875100
1600,11,11015500
1600,12,10886200
3200,1,42682900
3200,2,38072800
3200,3,38730700
3200,4,42554300
3200,5,42818100
3200,6,39431500
3200,7,40341900
3200,8,40667400
3200,9,41874600
3200,10,43349700
3200,11,44003000
3200,12,44356200
6400,1,174168100
6400,2,156532600
6400,3,165141500
6400,4,167734500
6400,5,178399600
6400,6,176815200
6400,7,173961900
6400,8,155348700
6400,9,162294800
6400,10,177122400
6400,11,164905300
6400,12,167284600
12800,1,679797100
12800,2,671765700
12800,3,635375400
12800,4,638646300
12800,5,623306500
12800,6,632862500
12800,7,609287900
12800,8,620736300
12800,9,602723900
12800,10,622624200
12800,11,625492500
12800,12,644328500
